topic,artifact,local_source,github_export_path,git_policy,notes
SU2/Quaia,targeted stability report,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_report_2026-07-14.md,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_report_2026-07-14.md,track,Full targeted nested-mock report
SU2/Quaia,targeted stability p-values,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_pvalues_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_pvalues_2026-07-14.csv,track,Targeted nested-mock p-values
SU2/Quaia,targeted stability observed summary,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_observed_summary_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_observed_summary_2026-07-14.csv,track,Observed window-level stability metrics
SU2/Quaia,targeted stability mock summary,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_mock_summary_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_mock_summary_2026-07-14.csv,track,Per-mock stability metric table
SU2/Quaia,targeted stability config,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_config_2026-07-14.json,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_config_2026-07-14.json,track,Run configuration without random-sky cache
HHT CMB/SN,scan readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\hht_cmb_sn_scan_readout_2026-07-14.md,github_export/results/2026-07-14/hht_cmb_sn/hht_cmb_sn_scan_readout_2026-07-14.md,track,Historical HHT CMB/SN and combined-probe scan boundary
HHT CMB/SN,capture manifest,C:\Users\clive\Documents\Cosmology\github_export\manifests\hht_cmb_sn_capture_manifest_2026-07-14.csv,github_export/manifests/hht_cmb_sn_capture_manifest_2026-07-14.csv,track,Manifest for copied HHT code/results and excluded heavy artifacts
HHT CMB/SN,modern SN residual HHT export,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\sn_residuals_for_hht_summary_2026-07-14.md,github_export/results/2026-07-14/hht_cmb_sn/sn_residuals_for_hht_summary_2026-07-14.md,track,Matched LCDM/SU2/SU2R SN+BAO+Planck residual export summary
HHT CMB/SN,extended real-data HHT export,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\extended_realdata_pulls_for_hht_summary_2026-07-14.md,github_export/results/2026-07-14/hht_cmb_sn/extended_realdata_pulls_for_hht_summary_2026-07-14.md,track,SN-bin BAO and CC pull-series summary
HHT CMB/SN,legacy IMF BAO-lock summary,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\legacy_hht_imf_freq_vs_bao_summary_2026-07-14.md,github_export/results/2026-07-14/hht_cmb_sn/legacy_hht_imf_freq_vs_bao_summary_2026-07-14.md,track,Older IMF2/IMF3 BAO-lock readout
HHT CMB/SN,DOCX report text index,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\hht_cmb_sn_docx_report_index_2026-07-14.md,github_export/docs/hht_cmb_sn_docx_reports/hht_cmb_sn_docx_report_index_2026-07-14.md,track,Index for 51 extracted HHT CMB/SN DOCX reports
HHT CMB/SN,DOCX report manifest,C:\Users\clive\Documents\Cosmology\github_export\manifests\hht_cmb_sn_docx_report_manifest_2026-07-14.csv,github_export/manifests/hht_cmb_sn_docx_report_manifest_2026-07-14.csv,track,Local Word report provenance and extraction status
